date,steps,distance_miles,journey_id,character,segment,cumulative_miles,cumulative_steps,all_time_cumulative_miles,all_time_cumulative_steps
2024-10-19,26301,10.271267736740187,Mordor,Frodo,The Eye of Sauron,1201.502431978897,3016628.0,1273.8100690655347,3211823
2024-10-20,24498,9.58535311329324,Mordor,Frodo,The Eye of Sauron,1211.0877850921904,3041126.0,1283.3954221788279,3236321
2024-10-21,24403,10.371576261303737,Mordor,Frodo,The Eye of Sauron,1221.4593613534942,3065529.0,1293.7669984401316,3260724
2024-10-22,16110,6.758493988169407,Mordor,Frodo,The Eye of Sauron,1228.2178553416634,3081639.0,1300.525492428301,3276834
2024-10-23,21372,9.130895279896212,Mordor,Frodo,The Eye of Sauron,1237.3487506215597,3103011.0,1309.6563877081974,3298206
2024-10-24,23340,9.422104462448731,Mordor,Frodo,The Eye of Sauron,1246.7708550840084,3126351.0,1319.078492170646,3321546
2024-10-25,24274,10.050366593778838,Mordor,Frodo,The Eye of Sauron,1256.8212216777872,3150625.0,1329.1288587644249,3345820
2024-10-26,11867,4.511745170674527,Mordor,Frodo,The Eye of Sauron,1261.3329668484619,3162492.0,1333.6406039350993,3357687
2024-10-27,16543,6.0742243156660995,Mordor,Frodo,The Eye of Sauron,1267.4071911641279,3179035.0,1339.7148282507653,3374230
2024-10-28,12475,5.180182954335764,Mordor,Frodo,The Eye of Sauron,1272.5873741184637,3191510.0,1344.8950112051011,3386705
2024-10-29,64,0.01224710499052369,Mordor,Frodo,The Eye of Sauron,1272.5996212234543,3191574.0,1344.9072583100917,3386769
2024-10-30,3023,1.1276865921513255,Mordor,Frodo,The Eye of Sauron,1273.7273078156054,3194597.0,1346.034944902243,3389792
2024-10-31,9941,4.046464691367793,Mordor,Frodo,The Eye of Sauron,1277.7737725069733,3204538.0,1350.081409593611,3399733
2024-11-01,22623,9.415355587805832,Mordor,Frodo,The Eye of Sauron,1287.189128094779,3227161.0,1359.4967651814168,3422356
2024-11-02,19514,8.146889889517672,Mordor,Frodo,The Eye of Sauron,1295.3360179842969,3246675.0,1367.6436550709345,3441870
2024-11-03,17027,6.204042603470509,Mordor,Frodo,The Eye of Sauron,1301.5400605877674,3263702.0,1373.847697674405,3458897
2024-11-04,16795,6.91427230010235,Mordor,Frodo,The Eye of Sauron,1308.4543328878697,3280497.0,1380.7619699745073,3475692
2024-11-05,7355,2.4408837369030802,Mordor,Frodo,The Eye of Sauron,1310.8952166247727,3287852.0,1383.2028537114104,3483047
2024-11-06,3176,1.0614132775230882,Mordor,Frodo,The Eye of Sauron,1311.9566299022958,3291028.0,1384.2642669889335,3486223
2024-11-07,25558,9.943947295282486,Mordor,Frodo,The Eye of Sauron,1321.9005771975783,3316586.0,1394.208214284216,3511781
2024-11-08,3900,1.5189849873523653,Mordor,Frodo,The Eye of Sauron,1323.4195621849308,3320486.0,1395.7271992715682,3515681
2024-11-09,20794,7.764653651999766,Mordor,Frodo,The Eye of Sauron,1331.1842158369304,3341280.0,1403.491852923568,3536475
2024-11-10,29132,11.272829865955028,Mordor,Frodo,The Eye of Sauron,1342.4570457028856,3370412.0,1414.764682789523,3565607
2024-11-11,18031,7.44423627844738,Mordor,Frodo,The Eye of Sauron,1349.9012819813329,3388443.0,1422.2089190679703,3583638
2024-11-12,21168,8.906160705441508,Mordor,Frodo,The Eye of Sauron,1358.8074426867743,3409611.0,1431.115079773412,3604806
2024-11-13,11618,4.740048196459321,Mordor,Frodo,The Eye of Sauron,1363.5474908832336,3421229.0,1435.8551279698713,3616424
2024-11-14,14896,6.241931501320895,Mordor,Frodo,The Eye of Sauron,1369.7894223845547,3436125.0,1442.0970594711923,3631320
2024-11-15,8290,3.3873631967215636,Mordor,Frodo,The Eye of Sauron,1373.1767855812761,3444415.0,1445.4844226679138,3639610
2024-11-16,16119,6.259292828753362,Mordor,Frodo,The Eye of Sauron,1379.4360784100295,3460534.0,1451.7437154966672,3655729
2024-11-17,19030,7.46345366877638,Mordor,Frodo,The Eye of Sauron,1386.8995320788058,3479564.0,1459.2071691654435,3674759
2024-11-18,7589,2.9233496901454155,Mordor,Frodo,The Eye of Sauron,1389.8228817689512,3487153.0,1462.130518855589,3682348
2024-11-19,11308,4.54458538397432,Mordor,Frodo,The Eye of Sauron,1394.3674671529257,3498461.0,1466.675104239563,3693656
